KPI_Type,Metric_Category,KPI_Name,Unit,Baseline_Year,Baseline_Value,2020_Value,2021_Value,2022_Value,2023_Value,2024_Value,Target_Year,Target_Value,On_Track
Percentage,Climate,Renewable Electricity,Percent,2018,28,38,48,58,68,78,2030,100,Yes
Percentage,Climate,Carbon Intensity Reduction vs Baseline,Percent,2018,0,9.5,16.7,23.8,31.0,38.1,2030,50,Yes
Percentage,Water,Water Replenished vs Consumption,Percent,2018,85,105,112,118,125,132,2030,150,Yes
Percentage,Water,High-risk Sites with Water Plans,Percent,2018,45,62,75,85,92,98,2030,100,Yes
Percentage,Packaging,Recyclable Packaging,Percent,2018,72,78,82,86,90,94,2025,100,At Risk
Percentage,Packaging,Recycled Content in PET,Percent,2018,12,18,22,28,35,42,2030,50,Yes
Percentage,Packaging,Collection Rate,Percent,2018,70,45,48,52,56,60,2030,70,Yes
Percentage,Packaging,Reusable Packaging,Percent,2018,6,8,9,10,11,12,2030,25,At Risk
Percentage,Waste,Zero Waste to Landfill Sites,Percent,2018,45,58,68,78,88,95,2025,100,Yes
Percentage,Waste,Food Waste Reduction vs Baseline,Percent,2018,0,8,12,18,25,32,2030,50,Yes
Percentage,Waste,Waste Diversion Rate,Percent,2018,78,85,89,93,96,98,2025,100,Yes
Percentage,Sourcing,Sustainably Sourced Ingredients,Percent,2018,42,58,65,72,78,84,2030,100,Yes
Percentage,Sourcing,Deforestation-free Supply Chain,Percent,2018,35,52,60,70,78,85,2025,100,At Risk
Percentage,Sourcing,Supplier Sustainability Assessments,Percent,2018,55,68,75,82,88,94,2030,100,Yes
Percentage,Energy,Renewable Energy Share,Percent,2018,22,32,40,48,56,65,2030,100,Yes
Percentage,Social,Living Wage Coverage,Percent,2018,72,78,82,88,92,96,2025,100,Yes
Percentage,Social,Gender Balance Leadership,Percent,2018,28,32,35,38,42,45,2030,50,Yes
Percentage Summary,Climate,CATEGORY AVERAGE,Percent,2018,14,23.75,32.35,40.9,49.5,58.05,2030,75,Yes
Percentage Summary,Water,CATEGORY AVERAGE,Percent,2018,65,83.5,93.5,101.5,108.5,115,2030,125,Yes
Percentage Summary,Packaging,CATEGORY AVERAGE,Percent,2018,40,37.25,40.25,44,48,52,2030,61.25,At Risk
Percentage Summary,Waste,CATEGORY AVERAGE,Percent,2018,41,50.33,56.33,63,69.67,75,2030,83.33,Yes
Percentage Summary,Sourcing,CATEGORY AVERAGE,Percent,2018,44,59.33,66.67,74.67,81.33,87.67,2030,100,Yes
Percentage Summary,Energy,CATEGORY AVERAGE,Percent,2018,22,32,40,48,56,65,2030,100,Yes
Percentage Summary,Social,CATEGORY AVERAGE,Percent,2018,50,55,58.5,63,67,70.5,2030,75,Yes
Absolute Value,Climate,Total GHG Emissions (Scope 1+2),Million MT CO2e,2018,8.5,7.8,7.2,6.5,5.9,5.3,2030,4.25,Yes
Absolute Value,Climate,Scope 1 Emissions,Million MT CO2e,2018,5.2,4.8,4.4,4.0,3.6,3.2,2030,2.6,Yes
Absolute Value,Climate,Scope 2 Emissions,Million MT CO2e,2018,3.3,3.0,2.8,2.5,2.3,2.1,2030,1.65,Yes
Absolute Value,Climate,Scope 3 Emissions,Million MT CO2e,2018,22.0,20.0,19.5,18.9,18.2,17.5,2030,15.4,Yes
Absolute Value,Water,Total Water Withdrawal,Million ML,2018,385,345,328,312,298,285,2030,270,Yes
Absolute Value,Water,Water Use Intensity,L per L product,2018,2.8,2.5,2.4,2.2,2.1,2.0,2030,1.7,Yes
Absolute Value,Packaging,Virgin Plastic Use,Million Tonnes,2018,2.4,2.2,2.1,2.0,1.9,1.8,2030,1.2,Yes
Absolute Value,Energy,Energy Intensity,MJ per L product,2018,0.85,0.78,0.72,0.66,0.60,0.55,2030,0.42,Yes
Absolute Value,Social,Safety Incident Rate,Per 200000 hours,2018,1.8,1.5,1.3,1.1,0.9,0.7,2030,0.5,Yes
Absolute Value Summary,Climate,REDUCTION VS BASELINE,Percent,2018,0,10.8,17.6,25.3,32.4,38.8,2030,50,Yes
Absolute Value Summary,Water,REDUCTION VS BASELINE,Percent,2018,0,11.9,16.5,20.6,24.0,27.0,2030,30,Yes
Absolute Value Summary,Packaging,REDUCTION VS BASELINE,Percent,2018,0,8.3,12.5,16.7,20.8,25.0,2030,50,At Risk
Absolute Value Summary,Energy,REDUCTION VS BASELINE,Percent,2018,0,8.2,15.3,22.4,29.4,35.3,2030,50,Yes
Absolute Value Summary,Social,REDUCTION VS BASELINE,Percent,2018,0,16.7,27.8,38.9,50.0,61.1,2030,72.2,Yes
